title,content,date,url
"""땡큐 엔비디아""…SK하이닉스 매출 30% 육박"," [서울=뉴시스]이인준 기자 = SK하이닉스가 올해 1분기 역대 두 번째로 높은 실적을 달성한 것은 엔비디아라는 든든한 뒷배가 있었기 떄문에 가능했던 것으로 보인다. 17일 SK하이닉스 연결검토보고서에 따르면 올해 1분기 회사 매출의 10% 이상을 상회한 단일 외부고객은 '가' 업체 한 곳으로, 여기서만 4조7862억원이 발생했다. 회사 전체 매출인 17조6391억원의 27.1%를 차지한다. 업계에선 '가' 업체의 정체가 엔비디아일 것으로 간주하는 분위기다. SK하이닉스의 엔비디아향 매출은 지난해 1분기 10%(1조2430억원)를 넘기지 못해 공시되지 않았다. 이를 감안하면 올해 1분기 엔비디아향 매출은 전년 대비 4배 이상으로 확대된 것으로 추산된다. 엔비디아가 SK하이닉스 매출에서 차지하는 비중은 지난해 상반기 10.6%에서 하반기 21%로 확대됐고, 올해 1분기에는 30%를 육박하는 수준으로 확대됐다. 엔비디아 매출 급증으로, 1분기 SK하이닉스 전체 매출에서 미국 지역이 차지하는 비중은 6조3126억원에서 12조7945억원으로 2배 확대됐다. SK하이닉스의 매출 성장세를 견인한 것은 단연 고대역폭메모리(HBM)다. SK하이닉스는 엔비디아에 인공지능(AI) 반도체에 필요한 HBM와 GDDR(그래픽용 D램)을 납품하고 있는데, 그중에서도 HBM은 AI 반도체의 원가에서 가장 높은 비중을 차지하는 부품이다. 엔비디아와 협력 여부는 메모리 업체들을 웃고 울릴 지경이다. 특히 마이크론은 HBM 후발주자 임에도 삼성전자를 제치고 엔비디아에 HBM3E 8단을 공급하는데 성공하며 실적 차별화를 거두고 있다는 평가를 받는다. 앞으로도 엔비디아를 향한 메모리 업계의 끈질긴 구애는 지속될 수밖에 없다. 지난해 엔비디아는 신제품 출시를 기존 2년 단위에서 6개월~1년 수준으로 단축하겠다는 계획을 발표했다. 당연히 메모리 업계의 지상 최대 과제는 엔비디아가 누구의 손을 잡을 것인지에 쏠린다. 다음주 열리는 아시아 최대 IT 전시회 대만 '컴퓨텍스 2025' 역시 젠슨 황 엔비디아 CEO의 행보가 반도체 업계의 최대 관심사다. SK하이닉스, 삼성디스플레이 등 국내 업체를 비롯한 전 세계 반도체, IT 부품 업체들이 총 집결한다. 황 CEO는 행사 개막 전날인 오는 19일 기조연설에 나서며, 21일에는 전 세계 미디어를 대상으로 간담회를 개최할 예정이다. 국내 반도체 업계는 황 CEO가 HBM 공급망과 관련해 어떤 언급이 있을지에 촉각을 곤두세우고 있다. 그는 작년 행사에 참석해 ""삼성은 아직 어떤 인증 테스트에도 실패한 적이 없다""며 ""삼성 HBM 제품은 더 많은 엔지니어링 작업이 필요하다""고 밝혀 다양한 추측과 해석을 불러온 바 있다. SK하이닉스는 주도권 확보를 자신하고 있다. 곽노정 SK하이닉스 사장은 올해 3월 경기 이천 본사에서 열린 주주총회를 통해 ""올해 HBM 물량은 이미 솔드아웃(매진)됐고, 내년 물량도 상반기 내 고객과 협의를 마무리할 계획""이라고 밝혔다. 특히 SK하이닉스는 엔비디아의 AI 반도체인 '블랙웰' 시리즈에 들어가는 HBM3E의 1차 공급사 지위를 따냈고, 올해 연말 양산 예정인 차세대 HBM4도 세계 최초로 샘플 공급에 나서며 주도권을 이어갈 태세다. 지난해 4분기 기준 SK하이닉스 전체 D램 매출에서 HBM이 차지하는 비중은 40% 이상이다. ☞공감언론 뉴시스 ijoinon@newsis.com",2025-05-17,http://v.daum.net/v/20250517100019675
"9개월 만에 돌아온 외국인, SK하이닉스 '폭풍 매수'","[앵커] 지난해 8월부터 우리 증권시장에서 순매도를 했던 외국인이 이달 들어 순매수로 돌아섰습니다. 9개월 만에 우리 증시를 바라보는 시각이 바뀐 셈인데, 순매수 종목을 봤더니 SK하이닉스를 가장 많이 샀고, 삼성전자는 가장 많이 판 것으로 나타났습니다. 류환홍 기자가 보도합니다. [기자] 우리 증권시장의 큰손 외국인 투자자들은 지난해 7월 1조 7천억 원 순매수를 마지막으로 순매도 입장으로 전환했습니다. 그로부터 지난달까지 9개월간 외국인은 매월 우리 증시에서 국내 주식을 순매도했습니다. 미국 경기침체 우려가 컸던 지난해 9월엔 7조 6천억 원 순매도를 했고, 미국의 상호관세 부과가 발표된 지난달엔 10조 원어치를 순매도하기도 했습니다. 이랬던 외국인이 이달 들어서는 매도를 줄이고 매수를 늘리는 방향으로 돌아섰습니다. 지난 15일까지 외국인이 순매수한 금액만 봐도 1조 3천억 원에 이릅니다. 외국인이 집중적으로 순매수한 종목은 SK하이닉스로, 순매수 금액은 1조 1천억 원이었습니다. 반면 가장 많이 판 종목은 삼성전자로, 4천억 원어치 순매도를 했습니다. [염승환 / LS증권 이사 : 삼성전자는 아직까지 (엔비디아의) 승인은 못 받았고, 하이닉스는 지금 여전히 높은 점유율을 좀 차지하면서 엔비디아 매출을 계속 좀 높여가고 있고. 이번 1분기 실적에서도 점유율이 역전됐잖아요. 삼성전자가 2등으로 밀리고.] 삼성전자가 9만 원 선을 바라보던 지난해 7월까지만 해도 56.5%였던 외국인 지분율은 지난 14일 기준 49.7%까지 내려왔습니다. 반면 이달 초 53%까지 떨어졌던 SK하이닉스의 외국인 지분율은 54.1%로 올라왔습니다. 블룸버그와 바클레이스 등 주요 투자은행들은 한국은행이 이달 말 기준금리를 인하하고, 새 정부 출범 후 대규모 추경이 있다면 외국인 순매수는 더 늘어날 것으로 예상했습니다. YTN 류환홍입니다. YTN 류환홍 (rhyuhh@ytn.co.kr) ※ '당신의 제보가 뉴스가 됩니다' [카카오톡] YTN 검색해 채널 추가 [전화] 02-398-8585 [메일] social@ytn.co.kr [저작권자(c) YTN 무단전재, 재배포 및 AI 데이터 활용 금지]",2025-05-17,http://v.daum.net/v/20250517054321568
"한화세미텍, SK하이닉스와 또 계약 ""협업 이어갈 것"""," 한화세미텍은 앞서 지난 3월 두 차례 SK하이닉스에 각 210억원, 총 420억원의 HBM TC본더를 납품하는 계약을 맺었다. 이번 계약까지 세 차례에 걸친 누적 공급 규모는 805억원입니다. TC본더는 인공지능(AI) 반도체용 HBM 제조에 필요한 핵심 장비입니다. HBM은 D램을 여러 개 쌓아 올리는 방식으로 만드는데, D램에 열과 압력을 가해 고정하는 공정에 TC본더가 쓰입니다. 글로벌 HBM 시장은 AI 수요가 급증하면서 최근 성장을 가속하고 있습니다. 시장조사기관 트렌드포스에 따르면 관련 시장 규모는 지난해 182억달러(약 25조3천억원)에서 내년에는 467억달러(64조9천억원)로 156% 성장할 전망입니ㅏㄷ . 한화세미텍은 이런 흐름에 따라 앞서 2020년 TC본더 개발에 착수해 올해 초 품질 테스트까지 성공적으로 마치며 개발을 완료했습니다. 한화세미텍 관계자는 이번 계약과 관련해 ""이번 추가 수주는 SK하이닉스와 지속적으로 협업을 이어가겠다는 계획의 일환""이라고 밝혔습니다. 저작권자 SBS미디어넷 & SBSi 무단전재-재배포 금지",2025-05-16,http://v.daum.net/v/20250516160602029
SK하이닉스 ‘효자상품’ HBM TC본더 공급사 발표... 한미반도체·한화세미텍 공동납품," 고대역폭 메모리(HBM)의 핵심 제조 장비인 ‘TC 본더’ 공급사로 한미반도체와 한화세미텍이 선정됐다. 한미반도체와 한화세미텍은 16일 공시를 통해 SK하이닉스에 HBM용 TC 본더 장비 공급 계약을 체결했다고 밝혔다. 공급 규모는 각각 428억원, 385억원이다. 다만 한화세미텍의 경우 공시 금액에서 부가가치세(VAT)가 제외됐다는 점을 고려하면 사실상 두 회사의 납품 규모가 비슷할 것으로 보인다. TC 본더는 인공지능(AI) 반도체용 HBM을 제조하기 위해 필수적으로 필요한 장비다. HBM을 제조하기 위해서는 D램을 여러 개 쌓아 올려야 하는데, 이 과정에서 D램에 열과 압력을 가해 고정하는 장비 중 하나가 TC 본더다. 양사가 공급한 장비는 청주에 있는 SK하이닉스의 ‘M15X’팹에 투입될 것으로 전해졌다. 한미반도체는 그동안 TC 본더 납품사 가운데 업계 1위 자리를 지켜왔다. SK하이닉스에 이 장비를 독점 공급해왔지만 최근 한화세미텍이 시장에 진출하며 치열한 경쟁을 벌였다. 한화세미텍은 이미 지난 3월 두 차례에 걸쳐 SK하이닉스와 총 420억원 규모의 TC 본더 납품 계약을 맺었다. 이번 계약까지 포함하면 누적 공급 규모는 805억원이다. 한편 HBM 시장은 AI 시장 수요 급증에 힘입어 지속적으로 커지고 있다. 시장조사기관 트렌드포스에 따르면 관련 시장 규모는 지난해 182억 달러(약 25조3000억원)에서 다음 해 467억 달러로 성장할 것으로 전망된다. 김지훈 기자 germany@kmib.co.kr GoodNews paper ⓒ 국민일보(www.kmib.co.kr), 무단전재 및 수집, 재배포 및 AI학습 이용 금지",2025-05-16,http://v.daum.net/v/20250516164103403
[단독] SK하이닉스서 철수했던 한미 엔지니어들 복귀한다,"  16일 파이낸셜뉴스 취재를 종합하면 한미반도체 엔지니어들은 조만간 SK하이닉스 HBM 생산 라인에 돌아와 업무를 재개한다. 앞서 한미반도체는 SK하이닉스의 'TC본더 다변화' 움직임에 반발해 HBM 생산 라인에 파견했던 자사 유지보수(CS) 인력 철수를 진행한 바 있다. TC본더는 인공지능(AI) 반도체용 HBM 제조에 필요한 핵심 장비다. 한미반도체 엔지니어들이 복귀를 결정한 것은 이날 SK하이닉스와 맺은 수주 계약과 연관이 있다. 한미반도체는 이날 공시를 통해 SK하이닉스와 HBM 제조용 '듀얼 TC본더 그리핀' 장비 수주를 했다고 밝혔다. 계약금액은 428억1200만원으로 계약 종료일은 오는 7월 1일이다. 업계에 정통한 고위 관계자는 ""SK하이닉스가 엔지니어 복귀를 전제로 이날 계약을 제안했고 한미반도체 측이 받아들인 것으로 안다""며 ""즉, 이날 계약은 조건부 수주인 것""이라고 설명했다. 기존 라인을 돌리기 위해 한미 엔지니어가 필요한 SK하이닉스와 장비 수주가 절실한 한미반도체의 요구 조건이 맞았다는 것이다. 엔지니어들의 구체적인 복귀 시점은 확인되지 않았으나 주말 혹은 내주 초 이뤄질 것으로 관측된다. 한편 한화비전도 이날 자회사 한화세미텍의 SK하이닉스 대상 HBM 제조용 TC본더 공급 계약을 발표했다. 계약금액은 385억원이다. kjh0109@fnnews.com 권준호 김경민 임수빈 기자",2025-05-16,http://v.daum.net/v/20250516170955512
"SK하이닉스, 한미와 갈등 봉합되나 ···한화와 TC본더 '동시 발주' [biz-플러스]"," SK하이닉스(000660)가 한화세미텍과 한미반도체(042700)의 고대역폭메모리(HBM) 제조용 TC 본더를 동시에 구매했다. HBM 제조 공급망 다변화 정책 기조를 유지하는 한편 최근 갈등이 극으로 치달았던 한미반도체와의 관계도 개선된 것으로 풀이된다. 16일 한화세미텍과 한미반도체는 SK하이닉스로부터 TC 본더를 수주했다고 공시했다. ‘듀얼 TC본더 그리핀’ 제품으로 전체 계약 규모는 한화세미텍 385억 원, 한미반도체 428억 1200만 원이다. 한화세미텍이 부가가치세(VAT)를 제외한 금액으로 공시한 점을 고려할 때 양사의 수주 금액은 대등한 것으로 분석된다. 이번 발주를 통해 두 회사가 공급하게 될 TC 본더는 25~30대 정도인 것으로 파악된다.  TC 본더는 여러 개의 칩을 수직으로 쌓아 올리는 SK하이닉스 HBM 제조 공정의 필수 장비다. 수직 적층 과정에서 SK하이닉스는 ‘매스리플로-몰디드언더필(MR-MUF)’이라는 공정을 통해 D램 사이를 일종의 접착제로 결합시킨다. 이 공정에 앞서 D램을 일정한 간격으로 쌓고 고정시키는 ‘초벌’ 가접합 작업이 필요한데 이 공정을 TC 본더가 맡는다. 지난해까지 SK하이닉스의 HBM 라인에는 압도적인 비율로 한미반도체의 TC 본더가 채워졌다. 하지만 올해 SK하이닉스가 한화세미텍 장비 공급 퀄(승인)을 내면서 공급망 다변화를 시도했다. 3월 첫 수주 소식을 알렸던 한화세미텍은 이번 공시 전까지 15개가량의 장비에 대한 공급계약을 체결한 것으로 알려졌다. 이 과정에서 SK하이닉스에 불만이 커진 한미반도체는 HBM 제조라인에 파견했던 유지보수(CS) 엔지니어들을 철수시켰고 양 사의 갈등은 최고조에 달했다. SK하이닉스는 이번 발주를 통해 TC 본더 공급망 다변화를 포기하지 않으면서 한미반도체와의 갈등을 봉합하려는 의지를 내비친 것으로 해석된다. 실제 회사 내부에서는 SK하이닉스가 한미반도체와의 관계 개선을 위해 이번 발주는 물론 여러 회유책을 마련하고 있는 것으로 알려졌다. 한편 올해 SK하이닉스는 최대 80여 대의 TC 본더를 구입할 것으로 예상된다. 현재 회사가 약 40대의 TC 본더 구매를 결정한 가운데 업계는 향후 수주 상황에 촉각을 곤두세우고 있다. 한 업계 관계자는 “올해 SK하이닉스의 TC 본더 수량은 한화세미텍과 한미반도체가 양분할 가능성이 크다”고 설명했다. ",2025-05-17,http://v.daum.net/v/20250517111222832
'TC 본더 전쟁' 속 SK하이닉스의 답…한미·한화 동시 발주," 한미반도체는 SK하이닉스에 428억원 규모 HBM용 TC 본더 장비 공급을 맺었다고 오늘(16일) 공시했습니다. 한화세미텍도 오늘 공시를 통해 SK하이닉스에 HBM용 TC 본더 장비를 공급하는 계약을 체결했다고 밝혔습니다. 한화세미텍 공급 규모는 385억원입니다. 한화세미텍은 한미반도체와 달리 부가가치세(VAT)가 제외된 공시금액으로 VAT를 포함하면 한미반도체 수주 규모와 비슷한 것으로 전해졌습니다. TC본더는 인공지능(AI) 반도체용 HBM을 제조하는 데 필요한 핵심 장비입니다. HBM은 D램을 여러 개 쌓아 올리는 방식으로 만드는데 D램에 열과 압력을 가해 고정하는 공정에 TC본더가 쓰입니다. 한미반도체는 그동안 SK하이닉스에 TC 본더를 독점 공급해왔으나 최근 한화세미텍이 공급망에 합류해 경쟁을 펼치고 있습니다. 앞서 한화세미텍은 지난 3월 두 차례 SK하이닉스에 각 210억원, 420억원 규모 HBM TC본더를 납품하는 계약을 맺었습니다. 이번 계약까지 세 차례에 걸친 누적 공급 규모는 805억원입니다. 저작권자 SBS미디어넷 & SBSi 무단전재-재배포 금지",2025-05-16,http://v.daum.net/v/20250516175101242
SK하이닉스 TC본더 ‘삼각 갈등’ 풀어…한미·한화와 나란히 계약,"고대역폭 메모리(HBM) 필수 제조 장비인 ‘TC 본더’를 놓고 갈등을 빚으며 삼각관계를 형성했던 한미반도체·한화세미텍과 SK하이닉스가 추가 공급 계약을 타결하며 일부 긴장을 해소했다. 다만 SK하이닉스가 공급업체 다변화 전략을 이어갈 예정인데다 한미반도체가 한화세미텍과 불편한 관계를 완전히 푼 것은 아니어서 갈등의 불씨는 여전하다. 한미반도체는 SK하이닉스에 428억원 규모의 HBM용 TC 본더 장비 공급을 맺었다고 16일 공시했다. 한화세미텍도 같은 날 공시를 통해 SK하이닉스에 HBM용 TC 본더 장비를 공급하는 계약을 체결했다고 밝혔다. 공급 규모는 385억원이다. 한화세미텍은 부가가치세(VAT)가 제외된 공시금액이어서, VAT를 포함하면 한미반도체와 수주 규모가 비슷한 것으로 전해진다.  양사의 TC본더 장비는 현재 시장 주류인 HBM3E 12단에 활용되며, SK하이닉스가 청주에 증설 중인 M15X 팹(공장)에 투입되는 것으로 알려졌다. 한미반도체는 그동안 시장 1위로써 SK하이닉스에 TC 본더를 독점 공급해왔으나 올해 3월 한화세미텍이 공급망에 뛰어들며 불편한 기류가 형성됐다. 한화세미텍은 올해 3월 SK하이닉스에 두 차례에 걸쳐 각 210억원, 총 420억원에 HBM TC본더를 납품하는 계약을 맺었다. 이번 계약을 더하면 누적 공급 규모는 805억원이다. 한화세미텍이 새로 등장하자 한미반도체는 불편한 기색을 숨기지 않았다. SK하이닉스를 상대로 8년간 동결해 온 기존 장비 가격을 약 28% 인상하고, 그간 무료로 제공해오던 유지보수 고객서비스(CS)를 유료화하겠다고 요청한 것으로 알려졌다. 이 때문에 4월말로 예정됐던 SK하이닉스의 추가 공급계약에 이목이 쏠렸다. 두 회사 중 어느 쪽 손을 들어주느냐가 SK하이닉스의 향후 공급업체 전략을 가늠할 지표로 여겨졌기 때문이다. 이번에 SK하이닉스가 한미반도체·한화세미텍과 고루 계약을 맺은 것은 특정 업체에 편중되기보다 공급사들을 모두 안고 가며 공급망 다변화를 추구하겠다는 신호로 해석된다. 이로써 SK하이닉스와 한미반도체의 갈등 1막은 막을 내린 것으로 보인다. 한미반도체 입장에서는 서운함을 내세우기보다 한화세미텍과 비슷한 규모로 물량 계약을 맺음으로써 한발 양보한 모양새다. 다만 한미반도체는 한화와의 갈등을 완전히 풀지는 않았다. 업계에 따르면 한미반도체는 올해 12월까지인 아워홈과의 급식 계약을 7월에 조기 종료하기로 했다. 최근 한화가 아워홈을 인수한 데 따른 것으로 풀이된다. 한미반도체는 신세계푸드를 급식공급 우선협상자로 선정해 협의 중인 것으로 알려졌다. 한미반도체가 지난해 말 한화세미텍을 상대로 제기한 TC본더 특허권 침해 소송도 남아 있다. 한화세미텍은 올해 2월 한화정밀기계에서 사명을 바꾸고, 김승연 한화그룹 회장의 3남인 김동선 부사장이 미래비전총괄로 합류해 이끌고 있다. 아워홈 인수도 식음료 사업을 강화하기 위한 김 부사장의 작품이다. 송은아 기자 sea@segye.com",2025-05-16,http://v.daum.net/v/20250516230137281
"한미반도체·한화세미텍, SK하이닉스에 TC 본더 나란히 공급(종합)","(서울=연합뉴스) 임성호 강태우 기자 = 고대역폭 메모리(HBM) 필수 제조 장비인 'TC 본더'를 놓고 치열한 경쟁을 벌인 한미반도체와 한화세미텍이 SK하이닉스에 모두 추가 공급 계약을 체결했다.  한미반도체는 SK하이닉스에 428억원 규모의 HBM용 TC 본더 장비 공급을 맺었다고 16일 공시했다. 한화세미텍도 같은 날 공시를 통해 SK하이닉스에 HBM용 TC 본더 장비를 공급하는 계약을 체결했다고 밝혔다. 공급 규모는 385억원이다. 다만 한미반도체와 달리 한화세미텍의 경우 부가가치세(VAT)가 제외된 공시금액으로, VAT를 포함하면 한미반도체와 수주 규모가 비슷한 것으로 전해진다. TC본더는 인공지능(AI) 반도체용 HBM을 제조하는 데 필요한 핵심 장비다. HBM은 D램을 여러 개 쌓아 올리는 방식으로 만드는데, D램에 열과 압력을 가해 고정하는 공정에 TC본더가 쓰인다. 한미반도체는 그동안 시장 1위로써 SK하이닉스에 TC 본더를 독점 공급해왔으나, 최근 한화세미텍이 공급망에 합류해 경쟁을 펼치고 있다. 한화세미텍은 앞서 지난 3월 두 차례 SK하이닉스에 각 210억원, 총 420억원의 HBM TC본더를 납품하는 계약을 맺었다. 이번 계약까지 세 차례에 걸친 누적 공급 규모는 805억원이다. 글로벌 HBM 시장은 AI 수요가 급증하면서 최근 성장을 가속하고 있다. 시장조사기관 트렌드포스에 따르면 관련 시장 규모는 지난해 182억달러(약 25조3천억원)에서 내년에는 467억달러(64조9천억원)로 156% 성장할 전망이다. 양사의 TC본더 장비는 현재 시장 주류이자 최신 제품인 'HBM3E 12단'에 활용되며, SK하이닉스가 청주에 캐파(생산능력) 확대를 위해 증설 중인 'M15X' 팹(공장)에 투입되는 것으로 알려졌다. sh@yna.co.kr ▶제보는 카톡 okjebo",2025-05-16,http://v.daum.net/v/20250516161758484
"한화세미텍, SK하이닉스에 385억 규모 HBM TC본더 추가 납품", CBS노컷뉴스 김수영 기자 sykim@cbs.co.kr 진실엔 컷이 없다,2025-05-16,http://v.daum.net/v/20250516160612046
